arc_i,arc_j,capacity_00,capacity_01,capacity_02,capacity_03,capacity_04,capacity_05,capacity_06,capacity_07,capacity_08,capacity_09,capacity_10,capacity_11,capacity_12,capacity_13,capacity_14,capacity_15,capacity_16,capacity_17,capacity_18,capacity_19,capacity_20
1067,superSink13,0,0,0,0,0,0,0,0,0,0,0,0,0,14813,0,0,0,0,0,0,14813
1067,superSink18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12600718,0,12600718
1067,1066,611969083,134528297,2022948265,17862751,1477,394056476,141866287,111780011,32066544,358733349,7015040,64346194,5335311,76013395,0,86659834,0,3389434,656274610,1797801,2528685332
1067,superSource17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25288,0,0,25288
1067,1068,611969083,134528297,2022948265,17862751,1477,394056476,141866287,111780011,32066544,358733349,7015040,64346194,5335311,76013395,0,86659834,0,3389434,656274610,1797801,2528685332
1067,superSink08,0,0,0,0,0,0,0,0,2608302,0,0,0,0,0,0,0,0,0,0,0,2608302
1067,superSource19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,1050
1067,superSink10,0,0,0,0,0,0,0,0,0,0,2139,0,0,0,0,0,0,0,0,0,2139
1067,superSink11,0,0,0,0,0,0,0,0,0,0,0,39757,0,0,0,0,0,0,0,0,39757
1068,superSink05,0,0,0,0,0,1509992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1509992
1068,superSink03,0,0,0,685607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685607
1068,superSink02,0,0,16516595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16516595
1068,superSource00,42972802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42972802
1068,superSource18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897361,0,897361
1068,superSource12,0,0,0,0,0,0,0,0,0,0,0,0,5110,0,0,0,0,0,0,0,5110
1068,1067,611969083,134528297,2022948265,17862751,1477,394056476,141866287,111780011,32066544,358733349,7015040,64346194,5335311,76013395,0,86659834,0,3389434,656274610,1797801,2528685332
1068,1069,611969083,134528297,2022948265,17862751,1477,394056476,141866287,111780011,32066544,358733349,7015040,64346194,5335311,76013395,0,86659834,0,3389434,656274610,1797801,2528685332
1068,superSink08,0,0,0,0,0,0,0,0,1334802,0,0,0,0,0,0,0,0,0,0,0,1334802
1068,superSink10,0,0,0,0,0,0,0,0,0,0,469651,0,0,0,0,0,0,0,0,0,469651
1069,superSource13,0,0,0,0,0,0,0,0,0,0,0,0,0,31286,0,0,0,0,0,0,31286
1069,superSink03,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486
1069,superSource15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222315,0,0,0,0,1222315
1069,superSink00,12373635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12373635
1069,1068,611969083,134528297,2022948265,17862751,1477,394056476,141866287,111780011,32066544,358733349,7015040,64346194,5335311,76013395,0,86659834,0,3389434,656274610,1797801,2528685332
1069,1070,611969083,134528297,2022948265,17862751,1477,394056476,141866287,111780011,32066544,358733349,7015040,64346194,5335311,76013395,0,86659834,0,3389434,656274610,1797801,2528685332
1069,superSink17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,64
1070,superSource07,0,0,0,0,0,0,0,8033027,0,0,0,0,0,0,0,0,0,0,0,0,8033027
1070,superSource11,0,0,0,0,0,0,0,0,0,0,0,2260406,0,0,0,0,0,0,0,0,2260406
1070,superSink05,0,0,0,0,0,105216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105216
1070,superSource13,0,0,0,0,0,0,0,0,0,0,0,0,0,63970,0,0,0,0,0,0,63970
1070,superSink03,0,0,0,627027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627027
1070,superSource15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824996,0,0,0,0,824996
1070,superSink00,3107843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3107843
