demand_00,demand_01,demand_02,demand_03,demand_04,demand_05,demand_06,demand_07,demand_08,demand_09,demand_10,demand_11,demand_12,demand_13,demand_14,demand_15,demand_16,demand_17,demand_18,demand_19,inflow_00,inflow_01,inflow_02,inflow_03,inflow_04,inflow_05,inflow_06,inflow_07,inflow_08,inflow_09,inflow_10,inflow_11,inflow_12,inflow_13,inflow_14,inflow_15,inflow_16,inflow_17,inflow_18,inflow_19,node,pos_00,pos_01,supply_00,supply_01,supply_02,supply_03,supply_04,supply_05,supply_06,supply_07,supply_08,supply_09,supply_10,supply_11,supply_12,supply_13,supply_14,supply_15,supply_16,supply_17,supply_18,supply_19
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,717903,7537890,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,0,0,250716,0,0,0,0,0,0,0,-180947,-65819,-390413,0,454960,0,0,14007724,0,14,712244,7543901,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,343029,0,0,-129,0,0,0,58539,0,0,0,-1249983,0,-1124,0,130937,0,0,-17449277,0,15,704657,7550344,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,0,0,-192193,0,-2206805,-3876221,-114863,128822,0,-48772,-1388957,-40148,-1546263,0,0,0,0,-20994236,0,16,701000,7558605,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,-396789,0,1713624841,213110,-4,0,-783850,-37369,110169,0,0,0,40691,618658,0,0,0,0,12572227,0,17,698501,7566979,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6425825,0,-1713624841,0,0,0,-819922,-21693,131480,0,-49169,0,61511,486341,0,-31154,0,10597,-12297490,0,18,694806,7574553,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,0,0,296,-21,0,0,0,0,0,0,-380053,-16511,1043875,0,0,0,-6130,0,-976,19,686052,7577504,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,-113957948,0,0,0,0,0,0,0,0,0,-422359,0,-648591,0,0,0,0,0,78,20,677558,7580915,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,17242155,0,0,-11,0,3455006,-16708,0,0,109546,-373660,12854,-520877,0,-543937,0,0,3957590,0,21,667539,7586705,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,20031337,0,-203281,-1,0,794725,0,0,0,0,-857536,0,607167,0,0,0,0,0,-588,22,657629,7586635,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,12682923,0,0,-2,0,-779008,-50664,-310924,0,-27208,858506,-18714,0,0,-351065,0,0,0,1483,23,655634,7587481,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,-4687403,0,-24282,146474,-18868133,-25083,-8984,0,402543,0,0,0,0,-49585,0,24,651311,7592925,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,221293,0,0,0,279756,0,104336,327717,0,0,0,0,0,0,25,643704,7594479,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,56546,19009112,0,0,0,0,0,0,250627,0,0,-1637855,0,0,0,-859115,0,0,0,32,26,636389,7593784,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,-10369,19999464,0,254419,0,-1387028,0,-95302,-192020,0,0,0,0,0,0,-335699,0,0,-5559416,0,27,633605,7594293,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,629691,7593037,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,627923,7593733,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2282646,15664941,0,744727,0,0,3862139,0,0,8636870,-25181,-528230,0,546195,0,0,0,-126372,0,0,30,716576,7537734,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,-4980915,-434583,0,-654625,0,12225391,-1471994,-53095,-259988,0,-39522,0,77130,409081,0,0,0,159270,0,-8772,31,719175,7535887,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3268256,9966428,0,0,0,-1805564,362530,0,-776536,1012082,-51890,12292,100884,626974,0,0,0,0,-219387,36,32,718373,7537363,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,-31370845,0,206952,12,-4877415,0,-38766,0,5961576,-36695,0,-67935,278325,0,0,0,0,0,0,33,720832,7528917,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,-15778825,741116,0,155703,0,-11492140,0,1175515,0,2596640,0,-1612998,0,475730,0,0,0,0,0,0,34,735348,7461139,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,-470401,0,0,30,0,4605056,1166035,132536,669106,-31982,464537,0,-387467,0,0,0,0,0,-987,35,725813,7469537,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,12424578,-3153206,0,0,-18,-2954,1034145,0,378021,0,0,1317410,-141150,1236861,0,958505,0,-18386,6681427,0,36,722119,7476760,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,-8976313,1099390,0,442733,0,-6016953,1465969,-105918,0,0,95608,-1620828,101936,0,0,-826337,0,0,3948895,0,37,718567,7485657,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,19915795,0,134814777,-99,-28,-5643363,0,-1380368,63130,0,-54950,838463,0,0,0,-1064087,0,0,0,-10129,38,717148,7498205,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9999316,-599677,0,0,0,11445846,6095725,-2963092,115995,0,0,446714,0,1380906,0,-14815,0,0,6311065,0,39,717342,7500820,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,16,0,3126540,0,440036,0,-35607,-3163924,105013,447218,0,0,0,-26246,0,0,40,720817,7506749,,,,,,,,,,,,,,,,,,,,
